Daily Observed Min/Max Temperature & Precipitation,,,,
,DallasFtWorth TX - KDFW,,,
6-Jun-13,69,80,74.5,0.22
7-Jun-13,63,84,73.5,-
8-Jun-13,65,88,76.5,-
9-Jun-13,67,88,77.5,1.12
10-Jun-13,70,97,83.5,-
11-Jun-13,75,92,83.5,-
12-Jun-13,75,94,84.5,-
13-Jun-13,75,98,86.5,-
14-Jun-13,75,96,85.5,-
15-Jun-13,73,90,81.5,-
16-Jun-13,74,96,85,-
17-Jun-13,69,92,80.5,0.73
18-Jun-13,69,87,78,0.07
19-Jun-13,70,92,81,-
20-Jun-13,76,95,85.5,-
21-Jun-13,77,95,86,-
22-Jun-13,75,95,85,-
23-Jun-13,77,95,86,-
24-Jun-13,76,95,85.5,-
25-Jun-13,78,96,87,-
26-Jun-13,77,98,87.5,-
27-Jun-13,79,100,89.5,-
28-Jun-13,78,103,90.5,-
29-Jun-13,77,98,87.5,-
30-Jun-13,74,92,83,-
1-Jul-13,68,88,78,-
2-Jul-13,66,89,77.5,-
3-Jul-13,65,91,78,-
4-Jul-13,69,95,82,-
5-Jul-13,73,97,85,-
6-Jul-13,73,97,85,-
7-Jul-13,74,97,85.5,-
8-Jul-13,78,97,87.5,-
9-Jul-13,77,100,88.5,-
10-Jul-13,82,102,92,-
11-Jul-13,80,102,91,-
12-Jul-13,75,101,88,-
13-Jul-13,80,101,90.5,-
14-Jul-13,70,81,75.5,0.35
15-Jul-13,67,74,70.5,0.54
16-Jul-13,71,89,80,0.75
17-Jul-13,71,92,81.5,0.07
18-Jul-13,73,93,83,-
19-Jul-13,74,95,84.5,0.25
20-Jul-13,73,95,84,-
21-Jul-13,74,96,85,-
22-Jul-13,77,98,87.5,-
23-Jul-13,80,99,89.5,-
24-Jul-13,76,98,87,-
25-Jul-13,75,95,85,-
26-Jul-13,77,95,86,0.09
27-Jul-13,73,91,82,-
28-Jul-13,69,93,81,-
29-Jul-13,78,97,87.5,-
30-Jul-13,79,99,89,-
31-Jul-13,79,102,90.5,-
1-Aug-13,80,102,91,-
2-Aug-13,81,102,91.5,-
3-Aug-13,80,101,90.5,-
4-Aug-13,80,100,90,-
5-Aug-13,82,102,92,-
6-Aug-13,80,104,92,-
7-Aug-13,81,105,93,-
8-Aug-13,81,101,91,-
9-Aug-13,77,102,89.5,0.15
10-Aug-13,77,98,87.5,-
11-Aug-13,76,101,88.5,-
12-Aug-13,78,100,89,-
13-Aug-13,74,99,86.5,0.74
14-Aug-13,75,91,83,0.18
15-Aug-13,73,89,81,-
16-Aug-13,68,90,79,0.11
17-Aug-13,64,90,77,-
18-Aug-13,68,90,79,-
19-Aug-13,73,94,83.5,-
20-Aug-13,71,96,83.5,-
21-Aug-13,73,95,84,-
22-Aug-13,77,98,87.5,-
23-Aug-13,78,100,89,0.14
24-Aug-13,77,100,88.5,-
25-Aug-13,77,98,87.5,-
26-Aug-13,75,98,86.5,-
27-Aug-13,74,94,84,-
28-Aug-13,72,98,85,-
29-Aug-13,76,102,89,-
30-Aug-13,77,103,90,-
31-Aug-13,78,105,91.5,-
1-Sep-13,80,104,92,0.01
2-Sep-13,75,90,82.5,0.26
3-Sep-13,78,98,88,-
4-Sep-13,76,101,88.5,-
5-Sep-13,77,100,88.5,-
6-Sep-13,77,100,88.5,-
7-Sep-13,77,99,88,-
8-Sep-13,72,97,84.5,-
9-Sep-13,73,96,84.5,-
10-Sep-13,76,94,85,-
11-Sep-13,73,96,84.5,-
12-Sep-13,74,98,86,-
13-Sep-13,78,97,87.5,-
14-Sep-13,77,94,85.5,-
15-Sep-13,75,96,85.5,-
16-Sep-13,76,97,86.5,-
17-Sep-13,79,93,86,-
18-Sep-13,78,97,87.5,-
19-Sep-13,72,89,80.5,1.03
20-Sep-13,68,76,72,1
21-Sep-13,61,84,72.5,-
22-Sep-13,60,83,71.5,-
23-Sep-13,59,86,72.5,-
24-Sep-13,67,94,80.5,-
25-Sep-13,61,94,77.5,-
26-Sep-13,67,95,81,-
27-Sep-13,71,90,80.5,-
28-Sep-13,68,87,77.5,0.43
29-Sep-13,63,82,72.5,-
30-Sep-13,60,87,73.5,-
1-Oct-13,65,90,77.5,-
2-Oct-13,74,90,82,-
3-Oct-13,75,92,83.5,-
4-Oct-13,74,90,82,-
5-Oct-13,52,81,66.5,0.25
6-Oct-13,50,77,63.5,-
7-Oct-13,52,82,67,-
8-Oct-13,55,82,68.5,-
9-Oct-13,56,84,70,-
10-Oct-13,59,85,72,-
11-Oct-13,70,88,79,-
12-Oct-13,70,93,81.5,-
13-Oct-13,68,77,72.5,0.01
14-Oct-13,70,75,72.5,0.62
15-Oct-13,54,78,66,0.59
16-Oct-13,54,66,60,0.23
17-Oct-13,47,72,59.5,-
18-Oct-13,52,70,61,0.07
19-Oct-13,43,66,54.5,-
20-Oct-13,44,73,58.5,-
21-Oct-13,51,74,62.5,-
22-Oct-13,45,77,61,-
23-Oct-13,48,83,65.5,-
24-Oct-13,53,80,66.5,-
25-Oct-13,50,70,60,-
26-Oct-13,54,78,66,1.23
27-Oct-13,58,67,62.5,-
28-Oct-13,55,77,66,-
29-Oct-13,70,77,73.5,-
30-Oct-13,66,73,69.5,0.1
31-Oct-13,54,75,64.5,0.01
1-Nov-13,48,76,62,-
2-Nov-13,50,68,59,-
3-Nov-13,45,67,56,-
4-Nov-13,56,61,58.5,0.56
5-Nov-13,61,71,66,0.25
6-Nov-13,44,72,58,0.4
7-Nov-13,39,65,52,-
8-Nov-13,42,66,54,-
9-Nov-13,56,70,63,-
10-Nov-13,51,65,58,-
11-Nov-13,50,76,63,-
12-Nov-13,36,64,50,-
13-Nov-13,29,52,40.5,-
14-Nov-13,33,61,47,-
15-Nov-13,51,72,61.5,-
16-Nov-13,63,80,71.5,-
17-Nov-13,62,87,74.5,-
18-Nov-13,55,72,63.5,-
19-Nov-13,55,69,62,-
20-Nov-13,48,66,57,-
21-Nov-13,42,75,58.5,0.14
22-Nov-13,35,42,38.5,0.23
23-Nov-13,36,43,39.5,-
24-Nov-13,33,37,35,0.02
25-Nov-13,32,39,35.5,0.52
26-Nov-13,36,53,44.5,-
27-Nov-13,29,47,38,-
28-Nov-13,29,52,40.5,-
29-Nov-13,31,58,44.5,-
30-Nov-13,38,68,53,-
1-Dec-13,50,70,60,-
2-Dec-13,40,70,55,-
3-Dec-13,43,76,59.5,-
4-Dec-13,48,79,63.5,-
5-Dec-13,29,48,38.5,0.68
6-Dec-13,24,32,28,0.57
7-Dec-13,21,26,23.5,-
8-Dec-13,26,33,29.5,-
9-Dec-13,29,33,31,-
10-Dec-13,19,38,28.5,-
11-Dec-13,25,44,34.5,-
12-Dec-13,26,48,37,-
13-Dec-13,40,47,43.5,0.01
14-Dec-13,32,47,39.5,-
15-Dec-13,26,61,43.5,-
16-Dec-13,32,66,49,-
17-Dec-13,35,70,52.5,-
18-Dec-13,38,70,54,-
19-Dec-13,54,72,63,-
20-Dec-13,35,68,51.5,0.02
21-Dec-13,35,52,43.5,1.48
22-Dec-13,30,43,36.5,-
23-Dec-13,25,46,35.5,-
24-Dec-13,24,53,38.5,-
25-Dec-13,33,57,45,-
26-Dec-13,30,55,42.5,-
27-Dec-13,32,58,45,-
28-Dec-13,35,60,47.5,-
29-Dec-13,32,50,41,-
30-Dec-13,29,44,36.5,-
31-Dec-13,24,54,39,-
1-Jan-14,31,69,50,-
2-Jan-14,25,43,34,-
3-Jan-14,25,52,38.5,-
4-Jan-14,41,70,55.5,-
5-Jan-14,21,50,35.5,-
6-Jan-14,15,33,24,-
7-Jan-14,19,48,33.5,-
8-Jan-14,39,48,43.5,0.14
9-Jan-14,41,48,44.5,0.08
10-Jan-14,47,70,58.5,0.11
11-Jan-14,37,69,53,-
12-Jan-14,42,74,58,-
13-Jan-14,42,64,53,-
14-Jan-14,32,66,49,-
15-Jan-14,33,58,45.5,-
16-Jan-14,35,66,50.5,-
17-Jan-14,38,55,46.5,-
18-Jan-14,35,69,52,-
19-Jan-14,39,65,52,-
20-Jan-14,42,73,57.5,-
21-Jan-14,36,52,44,-
22-Jan-14,30,60,45,-
23-Jan-14,24,45,34.5,-
24-Jan-14,18,43,30.5,-
25-Jan-14,26,68,47,-
26-Jan-14,47,74,60.5,-
27-Jan-14,25,52,38.5,-
28-Jan-14,22,36,29,-
29-Jan-14,16,47,31.5,-
30-Jan-14,32,60,46,-
31-Jan-14,52,74,63,-
1-Feb-14,40,66,53,-
2-Feb-14,30,40,35,0.14
3-Feb-14,30,43,36.5,-
4-Feb-14,38,48,43,0.17
5-Feb-14,22,38,30,-
6-Feb-14,17,25,21,0.05
7-Feb-14,23,32,27.5,-
8-Feb-14,32,55,43.5,-
9-Feb-14,36,47,41.5,-
10-Feb-14,30,36,33,0.02
11-Feb-14,28,36,32,-
12-Feb-14,30,51,40.5,-
13-Feb-14,30,67,48.5,-
14-Feb-14,42,72,57,-
15-Feb-14,37,70,53.5,-
16-Feb-14,45,76,60.5,-
17-Feb-14,49,75,62,-
18-Feb-14,43,82,62.5,-
19-Feb-14,60,70,65,-
20-Feb-14,45,74,59.5,-
21-Feb-14,34,67,50.5,-
22-Feb-14,47,75,61,-
23-Feb-14,48,71,59.5,-
24-Feb-14,41,56,48.5,-
25-Feb-14,42,55,48.5,0.03
26-Feb-14,32,43,37.5,-
27-Feb-14,25,56,40.5,-
28-Feb-14,44,84,64,-
1-Mar-14,46,81,63.5,-
2-Mar-14,20,71,45.5,0.09
3-Mar-14,16,34,25,-
4-Mar-14,25,50,37.5,-
5-Mar-14,31,56,43.5,-
6-Mar-14,41,56,48.5,-
7-Mar-14,35,67,51,-
8-Mar-14,39,56,47.5,0.01
9-Mar-14,38,63,50.5,-
10-Mar-14,41,78,59.5,-
11-Mar-14,55,86,70.5,-
12-Mar-14,45,63,54,-
13-Mar-14,34,68,51,-
14-Mar-14,48,73,60.5,-
15-Mar-14,54,68,61,1.29
16-Mar-14,42,56,49,-
17-Mar-14,35,61,48,-
18-Mar-14,51,82,66.5,-
19-Mar-14,45,66,55.5,-
20-Mar-14,40,72,56,-
21-Mar-14,53,82,67.5,-
22-Mar-14,51,67,59,-
23-Mar-14,45,58,51.5,-
24-Mar-14,38,67,52.5,-
25-Mar-14,42,64,53,-
26-Mar-14,44,62,53,0.04
27-Mar-14,58,82,70,0.02
28-Mar-14,54,80,67,-
29-Mar-14,46,74,60,-
30-Mar-14,48,79,63.5,-
31-Mar-14,57,81,69,-
1-Apr-14,66,84,75,-
2-Apr-14,71,83,77,-
3-Apr-14,59,84,71.5,0.09
4-Apr-14,45,67,56,-
5-Apr-14,49,57,53,-
6-Apr-14,47,53,50,0.6
7-Apr-14,47,69,58,0.01
8-Apr-14,50,72,61,-
9-Apr-14,44,81,62.5,-
10-Apr-14,59,86,72.5,-
11-Apr-14,62,83,72.5,-
12-Apr-14,66,85,75.5,-
13-Apr-14,62,78,70,0.32
14-Apr-14,43,61,52,-
15-Apr-14,35,64,49.5,-
16-Apr-14,44,69,56.5,-
17-Apr-14,49,63,56,0.04
18-Apr-14,55,76,65.5,0.03
19-Apr-14,55,79,67,-
20-Apr-14,61,80,70.5,0.36
21-Apr-14,63,83,73,0.21
22-Apr-14,60,84,72,-
23-Apr-14,60,87,73.5,-
24-Apr-14,63,84,73.5,-
25-Apr-14,58,84,71,-
26-Apr-14,61,84,72.5,-
27-Apr-14,73,91,82,0.08
28-Apr-14,65,83,74,-
29-Apr-14,57,76,66.5,-
30-Apr-14,49,68,58.5,-
1-May-14,42,75,58.5,-
2-May-14,50,82,66,-
3-May-14,52,90,71,-
4-May-14,61,96,78.5,-
5-May-14,62,92,77,-
6-May-14,65,89,77,-
7-May-14,70,88,79,-
8-May-14,64,78,71,0.51
9-May-14,64,89,76.5,-
10-May-14,65,89,77,-
11-May-14,74,89,81.5,-
12-May-14,60,84,72,0.42
13-May-14,55,71,63,0.11
14-May-14,53,74,63.5,0.2
15-May-14,51,84,67.5,-
16-May-14,56,87,71.5,-
17-May-14,59,84,71.5,-
18-May-14,64,85,74.5,-
19-May-14,66,88,77,-
20-May-14,69,88,78.5,-
21-May-14,70,89,79.5,-
22-May-14,69,89,79,-
23-May-14,72,84,78,-
24-May-14,72,88,80,0.01
25-May-14,70,87,78.5,1.91
26-May-14,70,82,76,0.03
27-May-14,66,79,72.5,0.21
28-May-14,65,84,74.5,-
29-May-14,68,89,78.5,-
30-May-14,69,88,78.5,-
31-May-14,71,89,80,0.01
1-Jun-14,71,92,81.5,-
2-Jun-14,75,92,83.5,-
3-Jun-14,75,92,83.5,-
4-Jun-14,76,94,85,-
5-Jun-14,75,91,83,-
6-Jun-14,75,94,84.5,-
7-Jun-14,76,95,85.5,-
8-Jun-14,70,89,79.5,0.03
9-Jun-14,65,81,73,0.85
10-Jun-14,67,86,76.5,-
11-Jun-14,65,95,80,-
12-Jun-14,72,85,78.5,0.08
13-Jun-14,73,90,81.5,-
14-Jun-14,75,92,83.5,-
15-Jun-14,76,94,85,-
16-Jun-14,76,96,86,-
17-Jun-14,78,95,86.5,-
18-Jun-14,77,96,86.5,0.01
19-Jun-14,76,95,85.5,-
20-Jun-14,77,93,85,-
21-Jun-14,78,88,83,-
22-Jun-14,70,82,76,0.59
23-Jun-14,68,88,78,0.62
24-Jun-14,71,93,82,0.01
25-Jun-14,70,86,78,1.07
26-Jun-14,70,89,79.5,-
27-Jun-14,74,92,83,-
28-Jun-14,77,90,83.5,-
29-Jun-14,79,94,86.5,-
30-Jun-14,77,95,86,-
1-Jul-14,74,94,84,-
2-Jul-14,77,93,85,-
3-Jul-14,71,87,79,-
4-Jul-14,74,93,83.5,-
5-Jul-14,73,93,83,-
6-Jul-14,74,95,84.5,-
7-Jul-14,76,99,87.5,-
8-Jul-14,78,98,88,-
9-Jul-14,76,97,86.5,-
10-Jul-14,78,98,88,-
11-Jul-14,74,96,85,-
12-Jul-14,75,99,87,-
13-Jul-14,77,100,88.5,-
14-Jul-14,78,101,89.5,0.08
15-Jul-14,73,94,83.5,-
16-Jul-14,69,92,80.5,0.03
17-Jul-14,68,79,73.5,0.7
18-Jul-14,65,77,71,-
19-Jul-14,68,78,73,-
20-Jul-14,65,93,79,-
21-Jul-14,74,98,86,-
22-Jul-14,77,98,87.5,-
23-Jul-14,76,97,86.5,-
24-Jul-14,74,97,85.5,-
25-Jul-14,74,100,87,-
26-Jul-14,78,102,90,-
27-Jul-14,80,103,91.5,-
28-Jul-14,78,96,87,-
29-Jul-14,73,85,79,-
30-Jul-14,73,91,82,0.17
31-Jul-14,71,81,76,-
1-Aug-14,70,83,76.5,-
2-Aug-14,67,90,78.5,-
3-Aug-14,73,93,83,-
4-Aug-14,74,95,84.5,-
5-Aug-14,74,98,86,1.08
6-Aug-14,79,100,89.5,-
7-Aug-14,80,102,91,-
8-Aug-14,81,104,92.5,-
9-Aug-14,79,102,90.5,-
10-Aug-14,80,101,90.5,0.01
11-Aug-14,79,95,87,-
12-Aug-14,76,93,84.5,-
13-Aug-14,71,95,83,-
14-Aug-14,72,95,83.5,-
15-Aug-14,75,100,87.5,-
16-Aug-14,81,101,91,0.02
17-Aug-14,70,90,80,2.83
18-Aug-14,74,92,83,-
19-Aug-14,76,94,85,-
20-Aug-14,79,97,88,-
21-Aug-14,79,99,89,-
22-Aug-14,80,100,90,-
23-Aug-14,78,99,88.5,-
24-Aug-14,79,99,89,-
25-Aug-14,78,100,89,-
26-Aug-14,78,97,87.5,-
27-Aug-14,77,95,86,-
28-Aug-14,74,96,85,-
29-Aug-14,71,94,82.5,0.4
30-Aug-14,76,94,85,-
31-Aug-14,76,95,85.5,-
1-Sep-14,78,97,87.5,-
2-Sep-14,79,97,88,-
3-Sep-14,78,97,87.5,-
4-Sep-14,78,97,87.5,-
5-Sep-14,76,96,86,-
6-Sep-14,74,96,85,-
7-Sep-14,72,89,80.5,-
8-Sep-14,73,95,84,-
9-Sep-14,78,98,88,-
10-Sep-14,79,101,90,-
11-Sep-14,73,87,80,0.02
12-Sep-14,59,73,66,0.04
13-Sep-14,56,71,63.5,-
14-Sep-14,63,79,71,-
15-Sep-14,71,86,78.5,-
16-Sep-14,75,92,83.5,-
17-Sep-14,73,95,84,-
18-Sep-14,73,89,81,-
19-Sep-14,68,89,78.5,-
20-Sep-14,72,92,82,-
21-Sep-14,71,95,83,-
22-Sep-14,71,88,79.5,-
23-Sep-14,63,84,73.5,-
24-Sep-14,60,88,74,-
25-Sep-14,63,87,75,-
26-Sep-14,66,87,76.5,-
27-Sep-14,68,88,78,-
28-Sep-14,66,89,77.5,-
29-Sep-14,67,90,78.5,-
30-Sep-14,70,92,81,-
1-Oct-14,74,93,83.5,-
2-Oct-14,67,95,81,0.32
3-Oct-14,59,82,70.5,-
4-Oct-14,50,79,64.5,-
5-Oct-14,57,86,71.5,-
6-Oct-14,67,85,76,0.03
7-Oct-14,68,98,83,-
8-Oct-14,73,91,82,-
9-Oct-14,76,94,85,-
10-Oct-14,64,92,78,0.11
11-Oct-14,57,66,61.5,0.33
12-Oct-14,52,75,63.5,-
13-Oct-14,59,75,67,1.29
14-Oct-14,56,77,66.5,-
15-Oct-14,51,83,67,-
16-Oct-14,54,89,71.5,-
17-Oct-14,58,86,72,-
18-Oct-14,61,82,71.5,-
19-Oct-14,58,76,67,-
20-Oct-14,58,82,70,-
21-Oct-14,59,82,70.5,-
22-Oct-14,61,80,70.5,-
23-Oct-14,63,79,71,0.01
24-Oct-14,60,84,72,-
25-Oct-14,64,88,76,-
26-Oct-14,63,88,75.5,-
27-Oct-14,66,85,75.5,-
28-Oct-14,65,77,71,-
29-Oct-14,54,76,65,-
30-Oct-14,52,78,65,-
31-Oct-14,47,67,57,-
1-Nov-14,37,62,49.5,-
2-Nov-14,46,68,57,-
3-Nov-14,54,76,65,-
4-Nov-14,52,70,61,1.24
5-Nov-14,50,56,53,0.17
6-Nov-14,43,70,56.5,-
7-Nov-14,42,67,54.5,-
8-Nov-14,46,70,58,-
9-Nov-14,39,73,56,-
10-Nov-14,51,79,65,-
11-Nov-14,38,66,52,-
12-Nov-14,31,40,35.5,-
13-Nov-14,28,38,33,-
14-Nov-14,25,40,32.5,-
15-Nov-14,37,45,41,-
16-Nov-14,27,40,33.5,0.04
17-Nov-14,23,44,33.5,-
18-Nov-14,22,56,39,-
19-Nov-14,33,64,48.5,-
20-Nov-14,41,71,56,-
21-Nov-14,58,68,63,0.01
22-Nov-14,52,60,56,0.67
23-Nov-14,48,77,62.5,-
24-Nov-14,41,60,50.5,-
25-Nov-14,35,61,48,-
26-Nov-14,37,64,50.5,-
27-Nov-14,36,57,46.5,-
28-Nov-14,39,69,54,-
29-Nov-14,49,77,63,-
30-Nov-14,61,79,70,-
1-Dec-14,31,66,48.5,-
2-Dec-14,31,48,39.5,-
3-Dec-14,48,57,52.5,-
4-Dec-14,55,64,59.5,0.01
5-Dec-14,55,77,66,0.02
6-Dec-14,45,65,55,-
7-Dec-14,42,52,47,-
8-Dec-14,40,56,48,-
9-Dec-14,36,55,45.5,-
10-Dec-14,40,56,48,-
11-Dec-14,50,66,58,-
12-Dec-14,58,71,64.5,-
13-Dec-14,57,71,64,-
14-Dec-14,61,67,64,0.09
15-Dec-14,49,65,57,0.02
16-Dec-14,39,53,46,-
17-Dec-14,40,47,43.5,0.37
18-Dec-14,41,49,45,0.01
19-Dec-14,45,49,47,0.13
20-Dec-14,44,47,45.5,-
21-Dec-14,47,53,50,-
22-Dec-14,49,65,57,-
23-Dec-14,44,53,48.5,0.47
24-Dec-14,36,51,43.5,-
25-Dec-14,34,62,48,-
26-Dec-14,50,66,58,0.01
27-Dec-14,35,62,48.5,-
28-Dec-14,33,49,41,-
29-Dec-14,29,52,40.5,-
30-Dec-14,36,46,41,-
31-Dec-14,32,36,34,-
1-Jan-15,31,36,33.5,0.59
2-Jan-15,36,40,38,0.35
3-Jan-15,38,54,46,0.35
4-Jan-15,28,42,35,-
5-Jan-15,21,46,33.5,-
6-Jan-15,30,58,44,-
7-Jan-15,22,40,31,-
8-Jan-15,16,38,27,-
9-Jan-15,27,39,33,-
10-Jan-15,31,38,34.5,0.05
11-Jan-15,33,42,37.5,0.37
12-Jan-15,35,44,39.5,-
13-Jan-15,31,39,35,-
14-Jan-15,36,41,38.5,-
15-Jan-15,34,56,45,-
16-Jan-15,31,63,47,-
17-Jan-15,39,68,53.5,-
18-Jan-15,33,70,51.5,-
19-Jan-15,38,69,53.5,-
20-Jan-15,39,70,54.5,-
21-Jan-15,40,61,50.5,0.31
22-Jan-15,36,47,41.5,1.06
23-Jan-15,39,52,45.5,-
24-Jan-15,33,60,46.5,-
25-Jan-15,41,64,52.5,-
26-Jan-15,34,72,53,-
27-Jan-15,41,78,59.5,-
28-Jan-15,47,80,63.5,-
29-Jan-15,49,69,59,-
30-Jan-15,40,57,48.5,-
31-Jan-15,47,53,50,0.54
1-Feb-15,34,58,46,0.1
2-Feb-15,24,42,33,-
3-Feb-15,31,54,42.5,-
4-Feb-15,37,57,47,-
5-Feb-15,29,37,33,-
6-Feb-15,32,58,45,-
7-Feb-15,42,69,55.5,-
8-Feb-15,51,73,62,-
9-Feb-15,46,75,60.5,-
10-Feb-15,45,75,60,-
11-Feb-15,45,67,56,-
12-Feb-15,36,55,45.5,-
13-Feb-15,35,67,51,-
14-Feb-15,40,78,59,-
15-Feb-15,50,73,61.5,-
16-Feb-15,29,62,45.5,0.22
17-Feb-15,28,54,41,0.05
18-Feb-15,30,57,43.5,-
19-Feb-15,32,60,46,-
20-Feb-15,46,70,58,-
21-Feb-15,46,67,56.5,-
22-Feb-15,29,50,39.5,1.3
23-Feb-15,26,30,28,0.17
24-Feb-15,25,37,31,-
25-Feb-15,32,52,42,0.66
26-Feb-15,30,38,34,-
27-Feb-15,24,30,27,0.25
28-Feb-15,26,32,29,0.21
1-Mar-15,32,37,34.5,0.07
2-Mar-15,33,40,36.5,0.03
3-Mar-15,40,52,46,0.05
4-Mar-15,26,52,39,0.69
5-Mar-15,22,39,30.5,0.07
6-Mar-15,22,51,36.5,-
7-Mar-15,28,61,44.5,-
8-Mar-15,46,50,48,0.07
9-Mar-15,47,50,48.5,0.66
10-Mar-15,49,59,54,-
11-Mar-15,44,68,56,-
12-Mar-15,49,69,59,-
13-Mar-15,54,60,57,0.34
14-Mar-15,55,64,59.5,-
15-Mar-15,54,68,61,-
16-Mar-15,50,77,63.5,-
17-Mar-15,60,81,70.5,-
18-Mar-15,55,66,60.5,0.03
19-Mar-15,56,77,66.5,-
20-Mar-15,53,61,57,0.4
21-Mar-15,53,63,58,0.02
22-Mar-15,52,69,60.5,0.1
23-Mar-15,51,75,63,-
24-Mar-15,59,82,70.5,-
25-Mar-15,63,81,72,-
26-Mar-15,49,72,60.5,-
27-Mar-15,43,70,56.5,-
28-Mar-15,45,81,63,-
29-Mar-15,53,83,68,-
30-Mar-15,58,75,66.5,-
31-Mar-15,63,83,73,-
1-Apr-15,65,79,72,0.1
2-Apr-15,68,83,75.5,-
3-Apr-15,57,73,65,-
4-Apr-15,47,68,57.5,-
5-Apr-15,51,61,56,0.75
6-Apr-15,58,83,70.5,-
7-Apr-15,70,80,75,-
8-Apr-15,67,76,71.5,-
9-Apr-15,65,83,74,0.09
10-Apr-15,52,70,61,-
11-Apr-15,52,75,63.5,-
12-Apr-15,65,78,71.5,-
13-Apr-15,58,70,64,1.09
14-Apr-15,55,60,57.5,0.04
15-Apr-15,56,75,65.5,-
16-Apr-15,59,78,68.5,-
17-Apr-15,59,72,65.5,0.53
18-Apr-15,58,81,69.5,0.48
19-Apr-15,54,77,65.5,-
20-Apr-15,46,69,57.5,-
21-Apr-15,48,73,60.5,0.05
22-Apr-15,58,77,67.5,-
23-Apr-15,65,74,69.5,0.5
24-Apr-15,59,68,63.5,1.03
25-Apr-15,55,87,71,-
26-Apr-15,58,84,71,0.02
27-Apr-15,54,73,63.5,0.83
28-Apr-15,49,59,54,0.05
29-Apr-15,49,75,62,-
30-Apr-15,51,78,64.5,-
1-May-15,54,82,68,-
2-May-15,59,81,70,-
3-May-15,60,79,69.5,-
4-May-15,65,81,73,-
5-May-15,61,81,71,0.14
6-May-15,68,82,75,0.43
7-May-15,64,82,73,0.04
8-May-15,67,83,75,0.03
9-May-15,69,82,75.5,0.04
10-May-15,63,79,71,1.49
11-May-15,60,73,66.5,-
12-May-15,58,72,65,0.06
13-May-15,62,69,65.5,1.11
14-May-15,64,83,73.5,-
15-May-15,68,78,73,0.01
16-May-15,69,84,76.5,-
17-May-15,64,79,71.5,1.68
18-May-15,64,88,76,-
19-May-15,70,80,75,-
20-May-15,62,86,74,-
21-May-15,55,66,60.5,0.57
22-May-15,57,68,62.5,0.55
23-May-15,67,81,74,0.59
24-May-15,63,76,69.5,3.44
25-May-15,59,76,67.5,0.43
26-May-15,58,81,69.5,0.43
27-May-15,58,85,71.5,-
28-May-15,64,88,76,0.35
29-May-15,64,77,70.5,2.71
30-May-15,59,76,67.5,0.89
31-May-15,59,78,68.5,-
1-Jun-15,59,84,71.5,-
2-Jun-15,65,87,76,-
3-Jun-15,67,90,78.5,-
4-Jun-15,68,91,79.5,-
5-Jun-15,68,91,79.5,-
6-Jun-15,71,92,81.5,-
7-Jun-15,71,93,82,-
8-Jun-15,73,95,84,-
9-Jun-15,72,95,83.5,-
10-Jun-15,72,97,84.5,-
11-Jun-15,74,93,83.5,-
12-Jun-15,61,93,77,-
13-Jun-15,78,89,83.5,-
14-Jun-15,76,88,82,-
15-Jun-15,76,92,84,0.02
16-Jun-15,76,83,79.5,0.09
17-Jun-15,74,80,77,2.21
18-Jun-15,75,95,85,-
19-Jun-15,73,95,84,-
20-Jun-15,76,86,81,-
21-Jun-15,74,90,82,0.07
22-Jun-15,73,94,83.5,-
23-Jun-15,74,94,84,-
24-Jun-15,77,95,86,-
25-Jun-15,76,95,85.5,-
26-Jun-15,72,95,83.5,1.29
27-Jun-15,74,90,82,0.2
28-Jun-15,72,92,82,-
29-Jun-15,75,96,85.5,-
30-Jun-15,71,95,83,0.03
1-Jul-15,75,94,84.5,-
2-Jul-15,74,93,83.5,-
3-Jul-15,79,92,85.5,-
4-Jul-15,78,94,86,-
5-Jul-15,77,93,85,-
6-Jul-15,80,93,86.5,-
7-Jul-15,80,92,86,-
8-Jul-15,74,85,79.5,1.18
9-Jul-15,77,92,84.5,-
10-Jul-15,73,92,82.5,-
11-Jul-15,76,94,85,-
12-Jul-15,77,96,86.5,-
13-Jul-15,77,98,87.5,-
14-Jul-15,79,98,88.5,-
15-Jul-15,76,96,86,-
16-Jul-15,75,96,85.5,-
17-Jul-15,79,97,88,-
18-Jul-15,79,99,89,-
19-Jul-15,78,99,88.5,-
20-Jul-15,78,99,88.5,-
21-Jul-15,79,97,88,-
22-Jul-15,80,98,89,-
23-Jul-15,80,99,89.5,-
24-Jul-15,79,99,89,-
25-Jul-15,79,99,89,-
26-Jul-15,77,100,88.5,-
27-Jul-15,78,100,89,-
28-Jul-15,80,99,89.5,-
29-Jul-15,79,102,90.5,-
30-Jul-15,80,104,92,-
31-Jul-15,81,98,89.5,-
1-Aug-15,78,97,87.5,-
2-Aug-15,77,99,88,-
3-Aug-15,77,101,89,-
4-Aug-15,79,99,89,-
5-Aug-15,82,103,92.5,-
6-Aug-15,83,103,93,-
7-Aug-15,82,103,92.5,-
8-Aug-15,81,103,92,-
9-Aug-15,80,106,93,-
10-Aug-15,79,106,92.5,-
11-Aug-15,83,104,93.5,-
12-Aug-15,79,99,89,-
13-Aug-15,76,98,87,-
14-Aug-15,78,97,87.5,-
15-Aug-15,76,96,86,-
16-Aug-15,74,98,86,-
17-Aug-15,76,98,87,-
18-Aug-15,80,99,89.5,-
19-Aug-15,68,91,79.5,0.06
20-Aug-15,65,75,70,0.4
